Frame,Emotion Scores
65,"{'disgust': np.float64(0.002315594553947449), 'fear': np.float64(0.4128025013208389), 'happy': np.float64(0.0005611019791103899), 'neutral': np.float64(0.0016948457248508932), 'sad': np.float64(0.00653694865293801), 'surprise': np.float64(0.32063343226909635), 'anger': np.float64(0.001657177399029024)}"
66,"{'disgust': np.float64(0.0026702362298965457), 'fear': np.float64(0.5437227416038513), 'happy': np.float64(0.0005720960209146142), 'neutral': np.float64(0.0016145975701510908), 'sad': np.float64(0.010994128193706276), 'surprise': np.float64(0.26387850046157835), 'anger': np.float64(0.0019455294148065148)}"
67,"{'disgust': np.float64(0.002988523729145527), 'fear': np.float64(0.5225671577453613), 'happy': np.float64(0.0005923090735450387), 'neutral': np.float64(0.0018093649297952652), 'sad': np.float64(0.012494477331638337), 'surprise': np.float64(0.27154330611228944), 'anger': np.float64(0.0019792818150017413)}"
68,"{'disgust': np.float64(0.003200208805501461), 'fear': np.float64(0.4692255592346191), 'happy': np.float64(0.0006097239209339022), 'neutral': np.float64(0.0020715013891458517), 'sad': np.float64(0.012708500185981395), 'surprise': np.float64(0.2931971848011017), 'anger': np.float64(0.001961384249152616)}"
69,"{'disgust': np.float64(0.0034560813754796983), 'fear': np.float64(0.43476917266845694), 'happy': np.float64(0.0006354133249260486), 'neutral': np.float64(0.0024427104741334914), 'sad': np.float64(0.01353887563571334), 'surprise': np.float64(0.3065192669630051), 'anger': np.float64(0.0020089943683706227)}"
70,"{'disgust': np.float64(0.003414388559758663), 'fear': np.float64(0.3986308372020721), 'happy': np.float64(0.0006181705044582486), 'neutral': np.float64(0.002526564486324787), 'sad': np.float64(0.012986256065778436), 'surprise': np.float64(0.3217730313539505), 'anger': np.float64(0.0019689950777683407)}"
71,"{'disgust': np.float64(0.0032098126038908963), 'fear': np.float64(0.2876882779598236), 'happy': np.float64(0.0006297429790720344), 'neutral': np.float64(0.0027969571948051456), 'sad': np.float64(0.00915260450448841), 'surprise': np.float64(0.3695501804351807), 'anger': np.float64(0.0017816479480825364)}"
72,"{'disgust': np.float64(0.0029767672717571263), 'fear': np.float64(0.21044747203588487), 'happy': np.float64(0.0006421537487767637), 'neutral': np.float64(0.003259892053902149), 'sad': np.float64(0.0068111068522557616), 'surprise': np.float64(0.4023773670196533), 'anger': np.float64(0.0016290274524362758)}"
73,"{'disgust': np.float64(0.003289187662303448), 'fear': np.float64(0.28395746558904644), 'happy': np.float64(0.0006287202355451882), 'neutral': np.float64(0.0031105637922883038), 'sad': np.float64(0.010623997324146331), 'surprise': np.float64(0.36999457478523257), 'anger': np.float64(0.0017860814690357075)}"
74,"{'disgust': np.float64(0.003105058334767819), 'fear': np.float64(0.21161700457334515), 'happy': np.float64(0.0006029383395798505), 'neutral': np.float64(0.003066191263496876), 'sad': np.float64(0.00897665536031127), 'surprise': np.float64(0.4011087954044342), 'anger': np.float64(0.0016171634383499623)}"
